time: 0.0000 , HR: 0.00 
time: 10.8677 , HR: 72.72 
time: 10.9011 , HR: 72.72 
time: 10.9344 , HR: 72.72 
time: 10.9677 , HR: 72.72 
time: 11.0011 , HR: 72.72 
time: 11.0344 , HR: 72.72 
time: 11.0678 , HR: 72.72 
time: 11.1011 , HR: 72.72 
time: 11.1344 , HR: 72.72 
time: 11.1678 , HR: 72.72 
time: 11.2011 , HR: 72.72 
time: 11.2344 , HR: 72.72 
time: 11.2678 , HR: 72.72 
time: 11.3011 , HR: 72.72 
time: 11.3344 , HR: 72.72 
time: 11.3678 , HR: 72.72 
time: 11.4011 , HR: 72.72 
time: 11.4345 , HR: 72.72 
time: 11.4678 , HR: 72.72 
time: 11.5011 , HR: 72.72 
time: 11.5345 , HR: 72.72 
time: 11.5678 , HR: 72.72 
time: 11.6011 , HR: 72.72 
time: 11.6345 , HR: 109.08 
time: 11.6678 , HR: 109.08 
time: 11.7011 , HR: 109.08 
time: 11.7345 , HR: 109.08 
time: 11.7678 , HR: 72.72 
time: 11.8012 , HR: 72.72 
time: 11.8345 , HR: 72.72 
time: 11.8678 , HR: 72.72 
time: 11.9012 , HR: 72.72 
time: 11.9345 , HR: 72.72 
time: 11.9678 , HR: 72.72 
time: 12.0012 , HR: 72.72 
time: 12.0345 , HR: 72.72 
time: 12.0678 , HR: 72.72 
time: 12.1012 , HR: 72.72 
time: 12.1345 , HR: 109.08 
time: 12.1679 , HR: 109.08 
time: 12.2012 , HR: 109.08 
time: 12.2345 , HR: 109.08 
time: 12.2679 , HR: 109.08 
time: 12.3012 , HR: 109.08 
time: 12.3345 , HR: 109.08 
time: 12.3679 , HR: 109.08 
time: 12.4012 , HR: 109.08 
time: 12.4346 , HR: 54.54 
time: 12.4679 , HR: 54.54 
time: 12.5012 , HR: 54.54 
time: 12.5346 , HR: 54.54 
time: 12.5679 , HR: 54.54 
time: 12.6012 , HR: 54.54 
time: 12.6346 , HR: 54.54 
time: 12.6679 , HR: 54.54 
time: 12.7012 , HR: 54.54 
time: 12.7346 , HR: 54.54 
time: 12.7679 , HR: 54.54 
time: 12.8013 , HR: 54.54 
time: 12.8346 , HR: 54.54 
time: 12.8679 , HR: 54.54 
time: 12.9013 , HR: 54.54 
time: 12.9346 , HR: 54.54 
time: 12.9679 , HR: 54.54 
time: 13.0013 , HR: 54.54 
time: 13.0346 , HR: 54.54 
time: 13.0679 , HR: 54.54 
time: 13.1013 , HR: 54.54 
time: 13.1346 , HR: 54.54 
time: 13.1680 , HR: 54.54 
time: 13.2013 , HR: 54.54 
time: 13.2346 , HR: 54.54 
time: 13.2680 , HR: 54.54 
time: 13.3013 , HR: 54.54 
time: 13.3346 , HR: 54.54 
time: 13.3680 , HR: 54.54 
time: 13.4013 , HR: 54.54 
time: 13.4346 , HR: 54.54 
time: 13.4680 , HR: 54.54 
time: 13.5013 , HR: 54.54 
time: 13.5347 , HR: 54.54 
time: 13.5680 , HR: 54.54 
time: 13.6013 , HR: 54.54 
time: 13.6347 , HR: 54.54 
time: 13.6680 , HR: 54.54 
time: 13.7013 , HR: 54.54 
time: 13.7347 , HR: 54.54 
time: 13.7680 , HR: 54.54 
time: 13.8014 , HR: 54.54 
time: 13.8347 , HR: 54.54 
time: 13.8680 , HR: 54.54 
time: 13.9014 , HR: 54.54 
time: 13.9347 , HR: 54.54 
time: 13.9680 , HR: 54.54 
time: 14.0014 , HR: 54.54 
time: 14.0347 , HR: 54.54 
time: 14.0680 , HR: 54.54 
time: 14.1014 , HR: 54.54 
time: 14.1347 , HR: 54.54 
time: 14.1681 , HR: 54.54 
time: 14.2014 , HR: 54.54 
time: 14.2347 , HR: 54.54 
time: 14.2681 , HR: 54.54 
time: 14.3014 , HR: 54.54 
time: 14.3347 , HR: 54.54 
time: 14.3681 , HR: 54.54 
time: 14.4014 , HR: 54.54 
time: 14.4347 , HR: 54.54 
time: 14.4681 , HR: 54.54 
time: 14.5014 , HR: 54.54 
time: 14.5348 , HR: 54.54 
time: 14.5681 , HR: 54.54 
time: 14.6014 , HR: 54.54 
time: 14.6348 , HR: 54.54 
time: 14.6681 , HR: 54.54 
time: 14.7014 , HR: 54.54 
time: 14.7348 , HR: 54.54 
time: 14.7681 , HR: 54.54 
time: 14.8014 , HR: 54.54 
time: 14.8348 , HR: 54.54 
time: 14.8681 , HR: 54.54 
time: 14.9015 , HR: 54.54 
time: 14.9348 , HR: 54.54 
time: 14.9681 , HR: 54.54 
time: 15.0015 , HR: 54.54 
time: 15.0348 , HR: 54.54 
time: 15.0681 , HR: 54.54 
time: 15.1015 , HR: 54.54 
time: 15.1348 , HR: 54.54 
time: 15.1682 , HR: 54.54 
time: 15.2015 , HR: 54.54 
time: 15.2348 , HR: 54.54 
time: 15.2682 , HR: 54.54 
time: 15.3015 , HR: 54.54 
time: 15.3348 , HR: 54.54 
time: 15.3682 , HR: 54.54 
time: 15.4015 , HR: 54.54 
time: 15.4348 , HR: 54.54 
time: 15.4682 , HR: 54.54 
time: 15.5015 , HR: 54.54 
time: 15.5349 , HR: 54.54 
time: 15.5682 , HR: 54.54 
time: 15.6015 , HR: 54.54 
time: 15.6349 , HR: 145.44 
time: 15.6682 , HR: 145.44 
time: 15.7015 , HR: 145.44 
time: 15.7349 , HR: 145.44 
time: 15.7682 , HR: 145.44 
time: 15.8015 , HR: 72.72 
time: 15.8349 , HR: 72.72 
time: 15.8682 , HR: 72.72 
time: 15.9016 , HR: 54.54 
time: 15.9349 , HR: 54.54 
time: 15.9682 , HR: 54.54 
